"Código de radio censal","Código de departamento","Departamento","Hogares","Población","Hogares en situación de pobreza crónica","Personas en situación de pobreza crónica","% Hogares en situación de pobreza crónica","% Personas en situación de pobreza crónica","Nivel de incidencia de pobreza crónica","% Hogares con hacinamiento crítico","% Hogares en vivienda inadecuada","% Hogares con déficit en conexión a red cloacal","% Hogares con jefe con primaria completa o menos","% Hogares con jefe con nivel secundario incompleto o menos","% Niños/as de entre 6 y 17 años que no asisten a establecimientos educativos formales","Código de provincia","Nombre de provincia","Código de departamentos/comuna","Nombre de departamentos/comuna","Código de radio","Población total","Total de hogares","Latitud del centroide","Longitud del centroide","Superficie en km2","Geometría en GeoJSON"
"820848210","82084","Rosario",496,1939,76,436,15,22,5,2,36,96,65,85,10,"82","Santa Fe","82084","Rosario","820848210",1939,496,-32.916465,-60.744789,0.23361464872726,"{""type"":""Polygon"",""coordinates"":[[[-60.747467,-32.915562],[-60.747460,-32.915832],[-60.747105,-32.915822],[-60.745571,-32.915789],[-60.744385,-32.915752],[-60.742856,-32.915715],[-60.740835,-32.915656],[-60.739428,-32.915620],[-60.738397,-32.915599],[-60.737516,-32.915570],[-60.736355,-32.915526],[-60.735167,-32.915494],[-60.735152,-32.916060],[-60.735128,-32.916595],[-60.736405,-32.916617],[-60.738330,-32.916685],[-60.739379,-32.916711],[-60.740453,-32.916743],[-60.741537,-32.916766],[-60.744329,-32.916839],[-60.745527,-32.916880],[-60.747062,-32.916918],[-60.747430,-32.916925],[-60.749097,-32.916972],[-60.749068,-32.917782],[-60.749053,-32.918073],[-60.751283,-32.918131],[-60.752599,-32.918204],[-60.752125,-32.917023],[-60.751277,-32.915934],[-60.750157,-32.915914],[-60.749780,-32.915934],[-60.749122,-32.915875],[-60.749138,-32.915376],[-60.747475,-32.915347],[-60.747467,-32.915562]]]}"
"820848212","82084","Rosario",367,1423,38,254,10,17,5,1,20,95,57,78,8,"82","Santa Fe","82084","Rosario","820848212",1461,367,-32.916825,-60.728983,0.20990520642322,"{""type"":""Polygon"",""coordinates"":[[[-60.728088,-32.915919],[-60.728071,-32.916418],[-60.723191,-32.916288],[-60.723060,-32.918848],[-60.724344,-32.918880],[-60.724353,-32.918736],[-60.724352,-32.918659],[-60.724364,-32.918511],[-60.724363,-32.918430],[-60.724377,-32.918206],[-60.724376,-32.918129],[-60.724385,-32.917981],[-60.724384,-32.917905],[-60.724400,-32.917680],[-60.724399,-32.917604],[-60.724408,-32.917456],[-60.724408,-32.917415],[-60.726707,-32.917472],[-60.728584,-32.917533],[-60.735083,-32.917709],[-60.735107,-32.917170],[-60.735128,-32.916595],[-60.734006,-32.916574],[-60.732770,-32.916545],[-60.732796,-32.915794],[-60.732815,-32.915430],[-60.731099,-32.915385],[-60.729762,-32.915355],[-60.728105,-32.915308],[-60.728088,-32.915919]]]}"
"820841005","82084","Rosario",338,1247,72,374,21,29,6,4,52,91,77,89,8,"82","Santa Fe","82084","Rosario","820841005",1248,338,-32.915428,-60.711927,0.087486030253193,"{""type"":""Polygon"",""coordinates"":[[[-60.715711,-32.916093],[-60.715746,-32.914978],[-60.714498,-32.914961],[-60.713724,-32.914933],[-60.713446,-32.914925],[-60.712670,-32.914888],[-60.712366,-32.914880],[-60.711340,-32.914863],[-60.710494,-32.914818],[-60.709945,-32.914804],[-60.708565,-32.914781],[-60.708147,-32.914764],[-60.708116,-32.915469],[-60.708108,-32.915860],[-60.708505,-32.915872],[-60.709514,-32.915915],[-60.710633,-32.915940],[-60.712326,-32.915994],[-60.712946,-32.916020],[-60.713876,-32.916042],[-60.715711,-32.916093]]]}"
"820841004","82084","Rosario",498,1848,81,437,16,23,5,4,49,85,69,84,9,"82","Santa Fe","82084","Rosario","820841004",1848,498,-32.915227,-60.704034,0.091974210284942,"{""type"":""Polygon"",""coordinates"":[[[-60.701045,-32.914853],[-60.701036,-32.915092],[-60.699037,-32.915070],[-60.699014,-32.915582],[-60.700489,-32.915631],[-60.701448,-32.915654],[-60.701879,-32.915676],[-60.702784,-32.915706],[-60.703618,-32.915728],[-60.705130,-32.915783],[-60.706302,-32.915810],[-60.707226,-32.915850],[-60.707661,-32.915850],[-60.708108,-32.915860],[-60.708116,-32.915469],[-60.708147,-32.914764],[-60.706357,-32.914719],[-60.704865,-32.914678],[-60.703791,-32.914628],[-60.701990,-32.914579],[-60.701052,-32.914557],[-60.701045,-32.914853]]]}"
"820840811","82084","Rosario",438,1842,190,1078,43,58,6,11,77,83,77,90,11,"82","Santa Fe","82084","Rosario","820840811",1843,438,-32.91715,-60.693164,0.21432501051682,"{""type"":""Polygon"",""coordinates"":[[[-60.693783,-32.914338],[-60.693856,-32.915416],[-60.692894,-32.915402],[-60.691914,-32.915369],[-60.690796,-32.917878],[-60.690400,-32.917884],[-60.690108,-32.918308],[-60.689238,-32.919522],[-60.690257,-32.919556],[-60.691600,-32.919591],[-60.692567,-32.919623],[-60.693049,-32.919630],[-60.693627,-32.919655],[-60.693937,-32.919646],[-60.694338,-32.918425],[-60.694532,-32.917947],[-60.694744,-32.917605],[-60.695082,-32.917048],[-60.695479,-32.916561],[-60.695923,-32.916004],[-60.696485,-32.915533],[-60.696240,-32.915482],[-60.695966,-32.915470],[-60.697162,-32.914427],[-60.695328,-32.914367],[-60.694097,-32.914333],[-60.693783,-32.914328],[-60.693783,-32.914338]]]}"
"820840807","82084","Rosario",359,1017,8,39,2,3,2,0,6,3,30,45,2,"82","Santa Fe","82084","Rosario","820840807",1048,359,-32.917208,-60.68977,0.12579491981771,"{""type"":""Polygon"",""coordinates"":[[[-60.691318,-32.914265],[-60.691046,-32.915026],[-60.690380,-32.916789],[-60.690013,-32.917498],[-60.689600,-32.917431],[-60.689156,-32.917417],[-60.687258,-32.917390],[-60.686632,-32.917368],[-60.686542,-32.919448],[-60.686934,-32.919460],[-60.687552,-32.919513],[-60.687853,-32.919476],[-60.688487,-32.919530],[-60.689238,-32.919522],[-60.690108,-32.918308],[-60.690400,-32.917884],[-60.690796,-32.917878],[-60.691914,-32.915369],[-60.692894,-32.915402],[-60.693856,-32.915416],[-60.693783,-32.914328],[-60.693060,-32.914316],[-60.692238,-32.914321],[-60.691318,-32.914265]]]}"
"820840806","82084","Rosario",314,908,1,9,0,0,1,0,2,2,29,40,2,"82","Santa Fe","82084","Rosario","820840806",908,314,-32.915201,-60.688588,0.10493543025226,"{""type"":""Polygon"",""coordinates"":[[[-60.689191,-32.916379],[-60.690523,-32.916413],[-60.691046,-32.915026],[-60.691319,-32.914264],[-60.689287,-32.914200],[-60.687239,-32.914144],[-60.686613,-32.914122],[-60.686256,-32.914165],[-60.685980,-32.914500],[-60.685440,-32.915179],[-60.685767,-32.915193],[-60.686204,-32.915203],[-60.686723,-32.915225],[-60.686677,-32.916307],[-60.689191,-32.916379]]]}"
"820840805","82084","Rosario",332,883,0,0,0,0,1,0,1,2,22,33,3,"82","Santa Fe","82084","Rosario","820840805",884,332,-32.91523,-60.683344,0.085867767996346,"{""type"":""Polygon"",""coordinates"":[[[-60.682912,-32.914602],[-60.682897,-32.915107],[-60.682244,-32.915088],[-60.680360,-32.915048],[-60.680328,-32.916122],[-60.681590,-32.916163],[-60.684594,-32.916250],[-60.685980,-32.914500],[-60.686256,-32.914165],[-60.685058,-32.914078],[-60.683582,-32.914038],[-60.682924,-32.914023],[-60.682912,-32.914602]]]}"
"820848211","82084","Rosario",411,1488,30,183,7,12,4,2,17,96,44,63,7,"82","Santa Fe","82084","Rosario","820848211",1488,411,-32.917672,-60.74068,0.22624002433285,"{""type"":""Polygon"",""coordinates"":[[[-60.735083,-32.917709],[-60.735070,-32.918068],[-60.735064,-32.918446],[-60.735052,-32.918824],[-60.735026,-32.919174],[-60.735684,-32.919192],[-60.736787,-32.919217],[-60.738309,-32.919276],[-60.739282,-32.919299],[-60.739346,-32.917821],[-60.744279,-32.917948],[-60.746669,-32.918013],[-60.747991,-32.918078],[-60.748472,-32.918062],[-60.749053,-32.918073],[-60.749068,-32.917782],[-60.749097,-32.916972],[-60.747430,-32.916925],[-60.747062,-32.916918],[-60.745527,-32.916880],[-60.744329,-32.916839],[-60.741537,-32.916766],[-60.740453,-32.916743],[-60.739379,-32.916711],[-60.738330,-32.916685],[-60.736405,-32.916617],[-60.735128,-32.916595],[-60.735107,-32.917170],[-60.735083,-32.917709]]]}"
"820841007","82084","Rosario",670,2582,127,687,18,26,6,4,41,89,70,86,11,"82","Santa Fe","82084","Rosario","820841007",2582,670,-32.917241,-60.718815,0.20601036881708,"{""type"":""Polygon"",""coordinates"":[[[-60.713150,-32.917100],[-60.713308,-32.917107],[-60.713645,-32.917108],[-60.713837,-32.917102],[-60.714293,-32.917104],[-60.714767,-32.917124],[-60.715185,-32.917137],[-60.716297,-32.917152],[-60.716938,-32.917171],[-60.717228,-32.917183],[-60.717542,-32.917201],[-60.717522,-32.917983],[-60.717474,-32.918697],[-60.718031,-32.918707],[-60.718895,-32.918716],[-60.720908,-32.918797],[-60.721547,-32.918806],[-60.722538,-32.918830],[-60.723060,-32.918848],[-60.723191,-32.916288],[-60.722560,-32.916275],[-60.719465,-32.916189],[-60.715711,-32.916093],[-60.713876,-32.916042],[-60.712946,-32.916020],[-60.712326,-32.915994],[-60.712288,-32.917091],[-60.712976,-32.917093],[-60.713150,-32.917100]]]}"
